Fecha,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
2004-01-01,58.39,57.39,53.39,53.39,53.39,53.39,52.89,52.89,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,57.39,58.39,58.39,57.39,53.39,53.39
2004-01-02,54.39,54.39,53.39,53.39,54.39,54.39,54.39,58.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,63.39,63.39,63.39,59.39,59.39,58.39
2004-01-03,58.89,58.89,58.89,58.39,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,64.39,65.39,64.39,63.39,59.89,58.89
2004-01-04,58.39,58.39,55.39,55.39,55.39,58.39,55.39,58.39,58.39,58.39,58.39,59.49,59.49,59.49,58.39,58.39,58.39,59.49,59.89,59.89,59.89,59.49,59.49,58.39
2004-01-05,57.99,57.99,57.99,57.99,57.99,58.14,58.14,58.14,58.14,58.14,58.14,58.14,58.39,58.14,58.14,58.14,58.14,58.39,61.39,61.39,61.39,58.39,58.14,58.14
2004-01-06,57.89,57.89,57.89,57.89,57.89,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,58.99,60.39,60.39,60.39,60.39,60.39,58.99,58.99
2004-01-07,57.49,57.49,57.49,57.49,57.49,57.49,57.49,57.89,57.89,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,60.39,63.39,60.39,59.39,57.89,57.49
2004-01-08,55.49,55.49,55.49,55.49,55.49,55.49,55.49,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,57.89,57.89,57.39,56.29,56.29,55.49
2004-01-09,55.09,55.09,55.09,55.09,55.09,55.14,55.14,55.14,55.14,55.14,55.49,55.49,55.14,55.14,55.14,55.14,55.14,55.49,55.49,58.39,55.49,55.49,55.14,55.14
2004-01-10,48.39,48.39,48.39,48.39,48.39,48.39,48.39,48.39,53.89,53.89,53.89,53.89,53.89,53.89,53.89,48.39,48.39,53.89,53.99,54.39,53.99,53.89,53.89,48.39
2004-01-11,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,48.19,55.39,55.39,55.39,54.39,48.19,48.19
2004-01-12,44.39,44.39,44.39,44.39,44.39,44.39,44.39,44.39,44.39,44.39,44.39,45.89,45.89,44.39,44.39,44.39,44.39,44.39,54.39,54.39,54.39,54.39,44.39,44.39
2004-01-13,39.44,39.44,39.44,39.44,39.44,40.39,41.29,45.89,54.39,54.39,54.39,54.39,54.39,54.39,54.39,54.39,54.39,54.39,54.39,58.39,54.39,54.39,44.29,40.39
2004-01-14,39.40,39.40,39.40,39.40,39.40,40.39,47.39,48.39,63.39,63.39,63.39,63.39,52.39,52.39,52.39,52.39,52.39,63.39,65.39,66.89,65.39,63.39,47.39,40.39
2004-01-15,47.39,40.39,47.39,47.39,47.39,48.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,65.39,65.39,63.39,53.39,53.39,52.39
2004-01-16,54.39,54.39,54.39,54.39,54.39,57.39,60.39,60.39,60.39,60.39,60.39,60.39,60.39,60.39,60.39,60.39,60.39,60.39,65.39,65.39,65.39,60.39,60.39,57.39
2004-01-17,60.39,60.39,60.39,60.39,60.39,60.39,60.49,60.49,60.49,60.49,64.89,64.89,60.49,60.49,60.49,60.49,60.49,60.49,64.89,64.89,64.89,64.89,60.49,60.49
2004-01-18,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,59.49,60.39,60.39,60.39,60.39,59.49,59.49
2004-01-19,59.44,59.44,59.39,59.39,59.44,59.44,59.44,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,66.39,66.39,65.39,64.39,64.39,59.44
2004-01-20,64.39,64.39,59.39,64.39,64.39,64.39,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,66.39,68.39,66.39,64.89,64.89,64.39
2004-01-21,59.39,59.39,59.39,59.39,59.39,64.84,64.84,64.84,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,68.39,68.39,64.89,64.89,64.84,64.84
2004-01-22,64.39,64.39,64.39,64.39,64.39,64.69,64.69,64.69,64.69,66.39,66.39,66.39,66.39,64.69,64.69,64.69,64.69,64.69,69.39,69.39,69.39,66.39,64.69,64.39
2004-01-23,58.39,56.59,56.59,56.59,58.39,64.39,65.39,65.39,68.39,68.39,68.39,68.49,68.39,68.39,68.39,68.39,68.39,68.39,68.49,68.49,68.49,68.49,65.39,64.39
2004-01-24,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,64.39,65.39,64.39,63.39,63.39,59.39
2004-01-25,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,58.79,63.39,64.39,63.39,63.39,58.79,58.79
2004-01-26,60.39,60.39,60.39,60.39,62.89,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,63.39,68.39,69.39,68.39,63.39,63.39,63.39
2004-01-27,59.89,59.39,59.39,59.39,59.89,62.89,68.39,68.39,69.39,69.39,70.59,70.59,69.39,69.39,69.39,69.39,69.39,69.39,70.59,73.54,70.59,70.59,67.39,59.89
2004-01-28,59.39,51.39,51.39,51.39,59.39,59.99,66.39,66.39,66.39,66.39,66.39,66.39,66.39,66.39,66.39,66.39,66.39,66.39,68.39,70.39,69.39,66.39,66.39,59.89
2004-01-29,59.84,59.39,59.39,59.39,59.84,59.84,59.89,59.89,67.29,67.29,67.29,67.39,67.29,67.29,67.29,67.29,67.29,67.29,69.39,74.39,69.39,67.39,59.89,59.84
2004-01-30,58.39,58.39,58.39,58.39,58.39,59.59,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,67.39,68.39,68.39,59.69,59.69,59.59
2004-01-31,59.39,59.39,59.39,59.39,59.39,59.39,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,63.39,67.39,67.39,63.39,59.43,59.43
2004-02-01,58.53,57.63,57.63,57.63,57.63,57.63,57.63,57.63,58.53,58.53,58.53,58.53,58.53,58.53,58.53,57.63,57.63,57.63,65.03,67.03,67.03,65.03,62.53,57.63
2004-02-02,56.53,56.53,47.53,56.53,56.53,57.63,57.63,57.63,57.63,57.63,58.53,58.53,57.63,57.63,57.63,57.63,57.63,57.63,62.73,65.53,62.73,58.53,57.63,57.53
2004-02-03,56.43,56.43,56.43,56.43,57.53,57.63,57.63,57.63,58.53,58.53,58.53,58.53,58.53,58.53,58.53,58.53,58.53,57.63,62.73,65.53,62.73,58.53,57.63,57.63
2004-02-04,58.53,58.53,58.53,58.53,58.53,61.93,61.93,61.93,61.93,61.93,61.93,65.53,61.93,61.93,61.93,61.93,61.93,61.93,66.53,67.53,67.53,65.53,61.93,58.53
2004-02-05,57.53,52.53,52.53,52.53,57.53,61.93,61.93,61.93,61.93,61.93,65.53,65.53,61.93,61.93,61.93,61.93,61.93,61.93,67.53,71.53,67.53,65.53,61.93,57.53
2004-02-06,61.73,61.73,61.73,61.73,64.53,65.53,67.53,67.53,67.53,67.53,71.53,71.53,67.53,67.53,67.53,67.53,67.53,67.53,72.53,72.53,72.53,71.53,66.53,64.53
2004-02-07,61.83,61.83,61.83,61.83,61.83,61.83,61.83,65.53,66.53,67.53,67.53,67.53,67.53,66.53,66.53,66.53,66.53,66.53,69.53,71.53,69.53,69.53,67.53,61.83
2004-02-08,68.53,67.53,67.53,67.53,67.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,68.53,73.53,75.03,75.03,73.53,72.53,68.53
2004-02-09,61.63,61.63,61.63,61.63,61.63,66.03,66.03,66.03,72.03,72.03,72.03,74.03,72.03,72.03,72.03,72.03,72.03,72.03,74.53,74.53,74.03,72.03,66.03,61.63
2004-02-10,66.03,66.03,66.03,66.03,66.03,67.53,67.53,67.53,67.53,67.53,69.53,69.53,69.53,67.53,67.53,67.53,67.53,69.53,74.53,75.73,74.53,69.53,67.53,66.53
2004-02-11,66.23,66.23,66.23,66.23,66.53,74.53,74.53,74.53,74.53,74.53,74.83,74.83,74.53,74.53,74.53,74.83,74.53,74.83,75.73,77.53,75.73,74.83,74.53,68.53
2004-02-12,67.53,67.53,67.53,67.53,67.53,72.53,74.83,72.53,74.83,74.83,75.73,75.73,74.83,74.83,74.83,74.83,74.83,74.83,75.73,78.03,75.73,74.83,67.53,65.53
2004-02-13,67.53,67.53,67.53,67.53,67.53,67.53,67.53,67.53,67.53,67.53,71.53,71.53,71.53,67.53,67.53,67.53,67.53,71.53,75.73,75.73,75.73,74.83,67.53,67.53
2004-02-14,69.53,69.53,69.53,69.53,69.53,69.53,71.53,74.83,74.83,75.53,75.53,75.53,75.53,74.83,74.83,74.83,74.83,74.83,75.73,76.03,80.53,76.03,76.03,75.73
