Fecha,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
2003-01-01,61.79,61.79,61.79,61.79,59.79,59.79,57.79,57.79,57.79,57.79,57.79,59.79,59.79,59.79,57.79,57.79,57.79,59.79,63.79,63.79,63.79,61.79,61.79,61.79
2003-01-02,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.79,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,64.79,67.78,64.79,63.79,61.89,61.79
2003-01-03,61.89,61.89,61.89,61.89,61.89,61.89,61.89,62.29,62.29,62.29,63.79,63.79,63.79,63.79,63.79,62.29,62.29,63.79,69.29,69.79,68.79,63.79,62.29,61.89
2003-01-04,62.29,62.29,62.29,62.29,62.29,62.29,62.29,62.79,63.79,63.79,64.29,64.29,64.29,64.29,63.79,63.79,63.79,63.79,64.29,64.79,64.79,64.29,64.29,63.79
2003-01-05,62.79,62.79,62.79,62.79,62.79,62.79,62.79,62.79,63.79,63.79,63.79,63.79,63.79,63.79,62.79,62.79,62.79,62.79,64.79,68.79,64.79,64.79,63.89,63.79
2003-01-06,63.79,63.29,63.29,63.29,63.29,63.29,63.29,63.29,63.29,63.79,63.79,64.39,64.39,63.79,63.79,63.79,63.79,63.79,65.79,65.79,65.79,64.39,64.39,63.79
2003-01-07,63.79,63.79,63.79,63.79,63.79,64.39,64.39,64.39,64.39,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,70.79,70.79,70.79,69.79,64.39,64.39
2003-01-08,61.79,61.39,61.39,61.39,61.39,62.79,62.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,66.79,67.79,66.79,65.79,65.79,62.79
2003-01-09,66.29,66.29,65.89,66.29,66.29,66.79,66.79,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,68.28,68.79,67.29,67.29,67.29,66.79
2003-01-10,66.99,66.99,66.99,66.99,66.99,66.99,66.99,67.19,67.19,67.19,67.69,67.69,67.69,67.19,67.19,67.19,67.19,67.19,68.78,69.78,67.69,67.19,67.19,66.99
2003-01-11,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.29,66.29,66.59,66.59,66.59,66.59,66.29,66.19,66.19,66.19,67.29,67.29,67.29,66.59,66.19,66.19
2003-01-12,67.49,66.59,66.59,66.59,66.59,66.59,66.59,66.59,67.49,67.49,67.49,67.49,67.49,67.49,67.49,67.49,67.49,67.49,67.79,68.79,67.79,67.79,67.49,67.49
2003-01-13,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.59,66.59,66.59,68.79,68.79,66.59,66.59,66.59,66.59,66.59,69.69,69.79,69.69,68.79,66.19,66.19
2003-01-14,66.14,66.14,66.14,66.14,66.14,66.18,66.18,66.18,66.18,66.19,66.19,66.19,66.19,66.19,66.19,66.18,66.19,66.19,66.19,66.59,66.19,66.19,66.18,66.18
2003-01-15,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.79,68.29,68.29,68.29,68.29,66.79,68.29,68.29,68.29,68.29,69.79,71.78,69.69,68.29,66.14,66.14
2003-01-16,66.09,65.79,61.79,61.79,66.09,66.09,66.14,66.14,66.14,66.14,66.14,68.29,66.14,66.14,66.14,66.14,66.14,66.14,69.59,72.29,69.29,68.29,66.14,66.09
