Fecha,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
2008-01-01,70.82,68.31,66.61,66.61,66.61,66.61,66.32,66.32,66.61,66.61,66.61,66.61,66.61,66.61,66.61,66.61,66.61,66.61,75.32,75.32,75.32,70.82,66.61,66.61
2008-01-02,70.82,70.82,70.82,66.32,66.32,70.82,72.82,75.26,75.26,75.26,75.26,80.32,75.26,75.26,75.26,75.26,75.26,75.26,81.32,81.32,81.32,80.32,75.26,75.26
2008-01-03,74.76,74.76,74.76,74.76,74.76,74.76,74.76,77.32,78.32,78.32,78.32,78.32,78.32,78.32,78.32,78.32,78.32,78.32,82.32,93.32,82.32,82.32,78.32,77.32
2008-01-04,87.32,87.32,87.32,87.32,87.32,87.32,87.32,87.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.32,90.76,90.76,90.76,90.76,90.32,87.32
2008-01-05,93.22,90.76,90.76,90.76,90.76,90.76,90.76,90.76,93.22,93.22,93.22,93.32,93.22,93.22,93.22,93.22,93.22,93.22,98.32,98.32,98.32,93.32,93.22,93.22
2008-01-06,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,97.32,97.32,97.32,97.32,97.32,96.31
2008-01-07,96.32,96.32,96.32,96.32,96.32,96.32,96.32,96.32,96.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.83,97.83,97.83,97.32,97.32,97.32
2008-01-08,96.32,96.32,96.32,96.32,96.32,96.32,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,97.92,102.32,102.32,102.32,97.92,97.92,96.32
2008-01-09,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,105.82,105.82,101.32,98.82,98.82,98.32
2008-01-10,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,106.22,106.22,106.22,105.82,98.82,98.82
2008-01-11,93.32,93.32,72.32,31.05,31.05,90.32,93.32,93.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,106.57,106.57,97.32,97.32,96.18,95.27
2008-01-12,95.32,93.29,92.52,93.29,94.32,95.32,95.32,95.32,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,103.82,103.82,103.82,95.52,95.52,95.32
2008-01-13,95.42,95.42,95.42,95.42,95.42,95.42,93.92,95.42,95.42,95.42,95.42,95.42,96.32,96.32,95.42,95.42,95.42,95.42,101.32,105.92,105.92,101.32,95.42,95.42
2008-01-14,92.49,89.32,89.32,89.32,89.32,94.32,95.32,95.62,95.62,95.62,95.62,95.62,95.62,95.62,98.32,95.62,95.62,95.62,106.92,106.92,106.92,95.62,95.62,92.49
2008-01-15,89.06,72.32,72.32,72.32,72.32,72.32,89.20,89.32,92.32,92.32,92.32,97.02,97.02,92.32,92.32,92.32,92.32,92.32,98.32,100.32,98.32,97.02,89.32,72.32
2008-01-16,91.32,91.32,91.32,91.32,91.32,91.32,98.32,101.52,101.52,101.52,101.52,102.32,102.32,102.32,102.32,102.32,101.52,101.52,102.32,102.32,102.32,102.32,98.32,91.32
2008-01-17,93.29,90.32,90.32,90.32,90.32,97.32,101.62,101.62,101.62,101.82,101.62,101.82,101.62,101.62,101.62,101.62,101.62,101.62,108.32,108.32,101.82,101.62,101.62,97.32
2008-01-18,97.22,92.29,90.32,90.32,97.22,97.22,97.22,97.22,97.32,97.32,97.32,101.82,101.82,97.32,97.32,97.32,97.32,97.32,105.32,108.32,105.32,101.82,97.22,97.22
2008-01-19,97.31,97.31,97.31,97.31,97.31,97.31,97.31,97.31,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,97.32,103.32,103.32,97.32,97.32,97.31
2008-01-20,99.32,99.32,99.32,99.32,99.32,99.32,95.32,99.32,99.32,99.32,99.32,99.32,102.32,99.32,99.32,99.32,99.32,99.32,102.32,108.32,108.32,102.32,99.32,99.32
2008-01-21,95.32,95.32,95.32,95.32,95.32,102.22,102.22,102.22,108.32,108.32,108.32,109.32,108.32,108.32,109.32,108.32,108.32,108.32,109.52,109.52,109.52,109.32,102.22,102.22
2008-01-22,89.20,89.20,89.20,89.20,89.20,100.32,107.82,107.82,107.82,107.82,108.82,108.82,108.82,108.82,108.82,108.82,107.82,107.82,112.32,115.32,112.32,107.82,107.82,99.32
2008-01-23,89.20,80.32,80.32,75.32,80.32,101.32,101.32,101.32,101.32,104.32,104.32,105.32,105.32,104.32,104.32,104.32,104.32,101.32,105.32,112.32,112.32,104.32,101.32,89.20
2008-01-24,103.32,101.32,101.32,101.32,103.32,103.32,103.32,103.32,104.32,104.32,104.32,104.32,105.42,104.32,105.42,104.32,104.32,104.32,112.32,112.32,112.22,104.32,103.32,103.32
2008-01-25,102.32,95.30,90.32,90.32,102.32,102.32,103.82,103.82,103.82,103.82,109.32,109.32,109.32,103.82,109.32,103.82,103.82,103.82,109.32,109.32,109.32,103.82,103.82,102.32
2008-01-26,103.22,102.32,102.32,102.32,102.32,103.22,103.22,103.22,103.22,103.32,103.32,103.32,103.32,103.32,103.22,103.22,103.22,103.22,103.32,107.32,103.32,103.32,103.22,103.22
2008-01-27,95.30,90.32,89.20,89.20,89.20,89.20,89.20,89.20,90.32,102.32,102.76,102.76,102.76,102.76,102.32,102.32,102.32,102.32,102.76,103.32,103.32,102.76,102.76,95.30
2008-01-28,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,102.32,102.32,102.32,102.32,102.32,102.32,102.32,102.32,102.32,108.32,111.32,108.32,102.32,100.32,100.32
2008-01-29,89.20,31.07,31.07,31.07,31.07,90.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,100.32,103.32,103.32,103.32,100.32,100.32,89.20
2008-01-30,92.26,92.26,90.32,90.32,92.26,92.26,98.32,98.32,98.32,98.32,103.32,103.32,103.32,98.32,103.32,103.32,103.32,103.32,103.32,109.32,103.32,103.32,92.26,92.26
2008-01-31,88.32,87.32,87.32,81.32,87.32,91.82,91.82,91.82,91.82,91.82,91.82,98.32,91.82,91.82,91.82,91.82,91.82,91.82,99.81,99.81,99.81,98.32,91.82,88.32
2008-02-01,88.34,88.34,88.34,88.34,88.34,91.35,91.35,91.35,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,97.85,107.75,114.85,107.75,97.85,91.35,89.83
2008-02-02,80.85,80.85,80.85,30.12,86.85,87.85,87.85,90.85,94.60,94.60,94.60,94.60,94.60,94.60,94.60,94.60,94.60,94.60,94.60,98.35,94.60,94.60,90.85,79.85
