Fecha,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
2005-01-01,69.82,69.82,69.82,68.82,68.82,68.32,68.32,68.32,68.32,68.32,68.32,68.82,68.82,68.82,68.32,68.32,68.32,68.82,69.82,85.82,69.82,69.82,69.82,68.82
2005-01-02,68.32,68.32,68.32,68.32,68.32,68.32,68.32,68.32,68.32,68.82,68.82,68.82,68.82,68.82,68.82,68.32,68.32,68.82,86.82,94.82,86.82,86.82,75.82,68.82
2005-01-03,73.82,73.82,69.82,69.82,73.82,73.82,73.82,73.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,107.82,107.82,107.82,92.82,86.82,73.82
2005-01-04,72.82,72.72,68.82,68.82,72.82,72.82,72.82,72.82,77.82,79.82,80.82,80.82,80.82,79.82,79.82,79.82,79.82,80.82,80.82,86.82,80.82,80.82,77.82,72.82
2005-01-05,70.82,70.82,70.82,70.82,70.82,70.82,70.82,70.82,77.82,79.82,90.81,92.82,79.82,77.82,77.82,77.82,77.82,79.82,92.82,92.82,92.82,92.82,77.82,70.82
2005-01-06,78.82,77.82,77.82,77.82,78.82,79.82,91.32,91.32,91.32,91.32,92.82,92.82,92.82,91.32,91.32,91.32,91.32,92.82,92.82,96.82,92.82,92.82,91.32,91.32
2005-01-07,82.82,82.82,79.82,75.82,79.82,82.82,82.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,92.82,92.82,92.82,91.82,91.82,82.82
2005-01-08,77.82,77.82,77.82,77.82,77.82,82.82,82.82,82.82,86.82,92.92,92.92,92.92,92.92,92.92,86.82,86.82,86.82,90.31,93.32,96.82,92.92,92.92,91.92,82.82
2005-01-09,92.82,91.92,86.82,86.82,86.82,86.82,86.82,92.82,93.33,93.33,93.33,93.33,93.33,93.33,93.33,92.82,92.82,93.33,95.82,95.82,95.82,93.33,93.33,92.82
2005-01-10,93.33,91.92,82.82,82.82,82.82,93.33,93.33,93.33,93.33,93.33,93.33,93.33,93.82,93.33,93.33,93.33,93.33,93.33,95.82,95.82,95.82,95.82,93.33,93.33
