Fecha,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
2019/01/01,318.34,318.34,318.34,318.34,308.84,218.84,153.84,153.84,195.05,293.84,318.34,318.34,318.34,318.34,318.34,318.34,318.34,318.34,318.34,333.84,333.84,318.34,318.34,318.34
2019/01/02,335.44,322.94,295.43,261.94,261.94,292.15,292.15,335.44,335.44,335.44,347.94,347.94,347.94,347.94,347.94,347.94,347.94,347.94,371.94,392.94,392.94,352.94,347.94,347.94
2019/01/03,329.27,329.27,329.27,329.27,329.27,329.27,329.27,341.27,376.27,381.27,381.27,390.27,401.27,401.27,401.27,386.27,381.27,381.27,390.27,451.27,401.27,381.27,381.27,381.27
2019/01/04,378.07,378.07,375.07,350.07,350.07,378.07,378.07,380.8,378.07,378.07,380.8,380.8,380.8,380.8,380.8,380.8,380.8,380.8,380.8,380.8,380.8,380.8,378.07,343.97
2019/01/05,348.3,348.3,348.3,238.93,254.36,348.3,348.3,348.3,348.3,381.17,401.57,381.17,381.17,381.17,381.17,381.17,379.57,360.57,381.17,396.57,381.17,381.17,381.17,348.3
2019/01/06,260.12,260.12,260.12,260.12,260.12,260.12,257.43,260.12,260.12,260.12,360.12,369.65,369.65,369.65,369.65,369.65,360.12,260.12,369.65,369.65,369.65,369.65,369.65,260.12
2019/01/07,369.63,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,379.1,369.63,369.63,369.63,369.63,369.63,369.63,369.63,369.63,400.1,401.1,400.1,369.63,369.63,369.63
2019/01/08,363.8,310.07,310.07,310.07,310.07,310.07,360.07,363.8,363.8,369.47,369.47,380.07,380.07,380.07,380.07,380.07,369.47,363.8,380.07,380.07,380.07,369.47,363.8,363.8
2019/01/09,257.17,249.11,249.11,249.11,249.11,257.42,280.11,280.11,280.11,360.84,360.84,364.11,364.11,364.11,364.11,364.11,360.84,360.84,380.01,380.01,380.01,360.84,360.84,280.11
2019/01/10,320.46,320.46,320.46,320.46,257.66,320.46,320.46,320.46,367.35,377.35,320.46,320.46,320.46,320.46,320.46,320.46,320.46,320.46,367.35,367.35,378.35,320.46,367.35,320.46
2019/01/11,309.65,309.65,309.65,309.65,309.65,350.05,350.05,350.26,350.26,350.26,350.26,350.26,350.26,350.26,350.26,366.15,350.26,350.26,367.15,367.15,366.15,350.26,350.05,309.65
2019/01/12,250.29,250.29,250.29,250.29,250.29,255.29,255.29,310.29,311.79,311.79,311.79,311.79,311.79,311.79,311.79,311.79,311.79,311.79,311.79,320.59,311.79,311.79,310.29,256.67
2019/01/13,244.99,200.22,200.22,200.22,200.22,200.22,226.99,200.22,200.22,244.99,244.99,300.98,312.09,312.09,300.98,249.43,244.99,244.99,312.09,320.89,312.09,312.09,312.09,244.99
2019/01/14,230.64,185.64,185.64,185.64,185.64,230.64,261.09,261.09,267.64,295.63,300.64,300.74,300.74,300.74,300.74,300.74,300.74,300.74,300.74,311.64,300.74,300.74,267.64,261.09
2019/01/15,250.54,250.84,185.54,185.54,192.16,250.54,250.54,250.84,250.84,255.92,271.2,270.59,270.59,270.59,271.2,271.2,270.59,250.84,270.59,271.2,270.59,270.59,250.84,250.84
2019/01/16,150.87,150.87,150.87,150.87,150.87,150.87,167.56,240.87,248.1,248.1,248.1,248.1,248.1,248.1,250.77,250.77,248.1,248.1,248.1,248.1,248.1,248.1,250.77,239.87
2019/01/17,235.96,230.96,230.96,230.96,230.96,248.96,248.96,235.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,248.96,230.96
2019/01/18,152.04,152.04,152.04,152.04,201.01,222.04,222.04,231.15,236.04,236.04,236.04,236.04,236.04,236.04,236.04,236.04,236.04,231.15,236.04,236.04,236.04,236.04,231.15,222.04
2019/01/19,152.26,152.26,152.26,152.26,152.26,192.26,192.26,192.26,192.26,192.26,193.26,226.38,226.38,193.26,192.26,192.26,192.26,192.26,226.38,226.38,226.38,192.26,192.26,192.26
2019/01/20,164.98,150.96,149.98,149.98,149.98,164.98,150.96,164.98,164.98,164.98,164.98,164.98,164.98,164.98,164.98,164.98,164.98,164.98,199.98,204.98,204.98,199.98,189.98,164.98
2019/01/21,186.91,186.91,182.91,182.91,182.91,189.03,186.91,189.03,201.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,202.91,189.03,186.91
2019/01/22,142.5,144.98,142.5,142.5,148.48,187.61,187.61,192.5,197.5,268.5,252.5,262.5,262.5,262.5,268.5,268.5,262.5,252.5,268.5,268.5,252.5,205.28,192.5,187.61
2019/01/23,190.27,200.17,200.17,200.17,190.27,220.27,200.17,125.27,200.17,200.17,250.27,250.27,250.27,250.27,266.27,266.27,250.27,250.27,266.27,270.27,270.27,250.27,190.27,125.27
2019/01/24,267.73,241.73,241.73,241.73,241.73,267.73,276.73,241.73,267.73,351.73,351.73,351.73,351.73,351.73,351.73,351.73,296.32,241.73,276.73,351.73,288.09,267.73,267.73,241.73
2019/01/25,301.26,301.26,301.26,275.38,301.26,301.26,341.26,301.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,341.26,301.26
2019/01/26,260.79,245.4,198.79,198.79,198.79,199.28,199.28,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79
2019/01/27,190.47,190.47,185.47,185.47,185.47,185.47,150.47,185.47,190.47,190.57,242.47,265.47,321.47,321.47,270.47,265.47,250.35,242.47,321.47,321.47,321.47,321.47,270.47,190.47
2019/01/28,275.45,275.45,263.45,263.45,263.45,290.45,280.45,321.45,321.45,321.45,321.45,350.45,321.45,321.45,321.45,321.45,321.45,321.45,321.45,321.45,321.45,321.45,309.45,275.45
2019/01/29,304.93,263.14,191.03,182.92,273.93,285.93,285.93,306.34,311.93,311.93,311.93,319.93,311.93,319.93,319.93,319.93,319.93,311.93,319.93,319.93,319.93,311.93,311.93,285.93
2019/01/30,220.72,220.72,220.72,215.32,220.72,265.72,265.72,283.72,284.72,310.72,348.72,348.72,310.72,350.22,348.72,348.72,350.22,300.72,348.72,348.72,348.72,348.72,284.72,265.72
2019/01/31,263.45,263.45,263.45,263.45,263.45,285.45,299.45,310.45,330.45,299.45,338.45,338.45,338.45,338.45,338.45,338.45,338.45,310.45,338.45,338.45,338.45,338.45,310.45,299.45
2019/02/01,300.42,295.42,295.42,295.42,297.42,300.42,300.42,300.42,300.42,300.42,300.42,309.92,309.92,309.92,337.92,337.92,337.92,300.42,337.92,337.92,337.92,309.92,300.42,300.42
2019/02/02,253.65,253.65,253.65,253.65,253.65,253.65,253.65,281.65,277.65,277.65,281.65,302.65,297.65,281.65,277.65,277.65,277.65,277.65,297.65,307.45,302.65,277.65,277.65,267.69
2019/02/03,276.03,253.03,253.03,253.03,253.03,253.03,187.03,199.85,269.57,286.03,286.03,286.03,286.03,286.03,286.03,286.03,286.03,286.03,339.03,339.03,339.03,339.03,286.03,286.03
